Unnamed: 0,City,Price,Title,bedroom,ft
778,"95powersst.,milford",1269,winter is upon usdon't wait or this apt. will be gone,2,950
779,milford,2199,huge 3 bedroom townhome brand new,3,1885
780,"36farmingtonroad,route11,rochester",995,great commuter location - updated - spacious,2,994
781,"4orangestreet,#3,farmington",1000,spacious 3 br - near town  bus route,3,
782,536hollyavemanchesternh,1300,beware 536 holly ave manch.,2,
783,milford,1449,stylish and chic 1 bedroom for rent no security deposit,1,658
784,57varneystreet,1400,3 bedroom house,3,1100
785,123unionave&5winterstreet,750,laconia nh 1 bedroom,1,
786,nashua,1350,"2bdr totally updated, heat and hot water included, off exit 1",2,1000
787,manchesternh,1300,4 bedroom - 318 concord street manchester,4,1200
788,203wilsonstreetmanchesternh,1100,3 bedroom very large apartment available,3,1200
789,"10sentinelcourt,manchesternh",1329,new price  mi special handicap accessible,2,861
790,21dmechanicst.farmington,775,1 bedroom / 1 bath,,
791,"175easternave,manchesternh",1139,first floor - handicap accessible apartment for rent,1,633
792,manchester,995,heat  hot water,1,1200
793,portsmouth,800,"bedroom available in two bedroom apartment, walk to downtown",2,
794,67starkstmanchester,975,must see downtown 1 br apartment,1,
795,dover,1625,2 bedroom | updated | heat included | walk to downtown dover,2,1000
796,hampton,1350,2 bedroom | duplex cottage | year lease | hampton beach,2,550
797,144easternave#204manchester,1150,spacious 2br condo apartment,2,
798,27stonehengerd#6londonderry,1225,"charming 2br apartment in londonderry, nh",2,
799,40easternave#308manchester,1350,spacious 3 bedroom condominium for rent,3,
800,newhampshire ,1240,open house and open floor 1750sq ft,3,1750
801,dover,1100,great townhouse for rent,3,1769
802,mainstreetrollinsford,1000,2 bedrooom apartment for rent,2,
803,concord,995,"excellent nieghborhood, nicely updated and maintained.",2,850
804,newhampshire ,1250,beautiful house and beautiful parking for rent a honesty family,3,1800
805,salem,1900,3+ bedroom single family home for rent,3,1200
806,nashua,1300,2 bedroom/house for rent,2,
807,stratham,700,apartment on horse farm,,
808,"downtowndover,walktoeverything",1800,"3 bedrooms, washer  dryer, dover",3,
809,concordnh,1500,3br downtown concord,3,1500
810,dover,1500,"3 br apt heat included, new paint throughout",3,1200
811,peterborough,1200,remodeled 2 bedroom with laundry  parking,2,
812,moultonborough,1400,"house for rent, winnipesaukee access home",3,2000
813,concord/penacook,1035,best deal around - free heat 1 year - beautiful oak creek - concord,2,850
814,gilford.,1300,"studio rental,at lake winnipesaukee",,
815,manchester,1600,3 bedrooms with a garage,3,3072
816,manchester,1475,2bd/1bath corner in elevator bldg available now,2,975
817,berwicksomersworth,1275,"(pending) 2 bdr duplex, walk to restaurants, entertainment  shops",2,
818,nan,1400,monroe nh 3 bedroom house for rent,3,1400
819,1201/2kinsleyst.nashua,1250,2 bedroom/1 bath,850ft2,
820,nan,995,for rent historic downtown manchester.,1,700
821,claremont,895,1 bedroom,1,
822,manchester,1580,"2 bed, 1.5 bath, must see apartment home with updated kitchen",2,1050
823,conway,1080,32 hurricane mountain rd,3,2233
824,conway,1080,32 hurricane mountain rd,3,2233
825,manchester,1475,"top floor corner unit w/elevator, available now",2,975
826,portsmouth,1195,newly renovated 1 bedroom in portsmouth,1,700
827,lafayettestreetrochesternh,800,two bedrooms convenient downtown area,2,
828,110palmst,1300,large updated 1 bedroom,1,800
829,manchester,1455,2 bd/1 bth corner w/heat  hot water included for coming cold,2,975
830,exeter,1,were you scammed,,
831,portsmouth,1000,"1br, offstreet parking, heat included",1,
832,mainstreet,1400,one bedroom apartment in epping first floor,1,523
833,manchester,1250,north end apartment,2,930
834,salem-you'lllovelivinghere!,1795,salem - brand new  gorgeous balcony -pool -gym -clubhouse -pet spa,1,
835,salem-you'lllovelivinghere!,1770,salem - brand new  gorgeous balcony -pool -gym -clubhouse -pet spa,1,
836,salem-pool-gym-clubroom-grills-petfriendly!,2195,brand spanking new great location 2 full baths-washer/dryer-balcony,2,
837,303pinest.,850,1 bedroom apt - ht  ht water included -,1,575
838,392kelleyst,1050,large 1 bedroom plus 1 offstreet parking spot,1,1050
839,franklin,1000,franklin duplex for rent,2,900
840,kennebunk,1500,"home winter rental 12/1/18-6/1/19 downtown kennebunk, me",3,2500
841,nan,1975,"pelham 2-bedroom 1-1/2 bath for rent  $1,975",2,1500
842,hudson,1600,"1 mile to schools, next to hannafords",2,1350
843,wolfeboro,1050,ranch style house for rent,2,1100
844,487claystreet,1200,large 3 bedroom,3,
845,"bradford,ma",1550,beautiful 2br apartment available on corner lot w off-street parking,2,915
846,manchester,1000,manchester first floor 1 bedroom apt,1,
847,dover,1400,heat included in 1st floor 2 br dover point road duplex,2,
848,claremont,1200,spacious 2 bedroom- heat included,2,1050
849,oldconcordtpkrt4,1250,1 br - barrington (half mile from lee circle),1,
850,jaffrey,1375,cozy 3 bedroom ranch in monadnock region - available jan. 1st,3,1600
851,portsmouth,2500,"3 br, portsmouth, short walk to piscataqua river",3,
852,concord/penacook,1035,falling leaves means fall specialsfree heat for a year,2,820
853,nan,2450,4-bedroom on quiet cul-de-sac,4,2665
854,nashuanearlakestreet,1700,spacious antique two-story apartment,2,1275
855,pelham,1200,"$1200- one bedroom/bath, utilities included, wifi, ctv",1,700
856,tilton,900,spacious newly renovated 2 bedroom on one way street,2,1200
857,300bedfordst,1200,2bdrm apartment,2,1300
858,milford,2150,waterfront single fam house - all new renovations inside/out,2,
859,manchester,1890,private entrance 2 bedroom manchester mill apartment (all12),2,1090
860,manchester,1810,"adorable, historic,  comfy 2 br in manchester's mill west (207)",2,1035
861,lawrence,2500,free rent just before the holidays perfect #8417,3,
862,laocnia,1255,don't settle for less apple ridge is your affordable dream home,2,984
863,nashua,1575,love to cook these newly renovated kitchens are made for you #116,1,883
864,manchester,1850,2 br 1 bathroom river/city facing manchester apartment. mill west(311),2,1035
865,nashua,2125,breath taking townhouse style apartment with 1 month free #339,2,1403
866,laconia,1255,want to live in the newest community in laconia check out apple ridge,2,984
867,nashua,1870,warm up by our fireplace's at lofts 34,908ft2,
